PLANO plano
DE de
GESTÃO gestão
ANUAL anual
- -
PGA pga
2026 @card@
A o
FATEC fatec
São são
Bernardo bernardo
do de_o
Campo campo
está estar
situada situar
em em
uma um
região região
estratégica estratégico
do de_o
Grande grande
ABC abc
, ,
marcada marcar
por por
forte forte
tradição tradição
industrial industrial
e e
localização localização
privilegiada privilegiar
, ,
com com
fácil fácil
acesso acesso
a a
aeroportos aeroporto
, ,
porto porto
e e
principais principal
rodovias rodovia
do de_o
Estado estado
. .
Apesar apesar
desse de_esse
potencial potencial
logístico logístico
e e
econômico econômico
, ,
a o
região região
enfrenta enfrentar
processos processo
de de
desindustrialização desindustrialização
e e
altos alto
índices índice
de de
desemprego desemprego
, ,
gerando gerar
impactos impacto
diretos direto
na em_o
economia economia
local local
. .
