III iii
. .
B b
– -
Estratégias estratégia
e e
medidas medida
para para
minimizar minimizar
os o
PONTOS ponto
FRACOS fraco
Em em
2022 @card@
foi ser
possível possível
finalizar finalizar
a o
reforma reforma
para para
correção correção
do de_o
problema problema
das de_o
patologias patologia
do de_o
piso piso
em em
virtude virtude
do de_o
recalque recalque
do de_o
solo solo
, ,
bem bem
como como
a o
selação selação
das de_o
tricas trico
do de_o
piso piso
e e
conserto conserto
das de_o
calhas calha
e e
correção correção
do de_o
gesso gesso
do de_o
Hall hall
, ,
conserto conserto
da de_o
parte parte
elétrica elétrico
da de_o
área área
da de_o
cantina cantina
e e
troca troca
de de
caixilhos caixilho
das de_o
janelas janela
dos de_o
laboratórios laboratório
3 3
e e
4 4
, ,
além além
de de
pintura pintura
interna interno
e e
externa externo
do de_o
prédio prédio
. .
