PLANO plano
DE de
GESTÃO gestão
ANUAL anual
- -
PGA pga
2025 @card@
APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
- -
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
- -
Materiais material
, ,
equipamentos equipamento
e e
mobiliários mobiliário
- -
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
- -
Quantidade quantidade
de de
professores professor
/ /
funcionários funcionário
- -
Manutenção manutenção
e e
conservação conservação
predial predial
- -
Infraestrutura infraestrutura
predial predial
( (
espaços espaço
, ,
sistemas sistema
) )
