DEFINIÇÃO definição
DE de
OBJETIVOS objetivo
, ,
METAS meta
E e
AÇÕES ação
( (
PROJETOS projeto
) )
Objetivos objetivo
1 1
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
; ;
2 2
Obter obter
a o
satisfação satisfação
dos de_o
públicos público
que que
se se
relacionam relacionar
com com
o o
Centro centro
Paula paula
Souza souza
( (
stakeholders stakeholders
) )
; ;
3 3
CPS cps
- -
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
; ;
4 4
Assegurar assegurar
a o
perenidade perenidade
do de_o
crescimento crescimento
da de_o
instituição instituição
com com
recursos recurso
financeiros financeiro
disponíveis disponível
; ;
5 5
Garantir garantir
celeridade celeridade
e e
efetividade efetividade
na em_o
prestação prestação
de de
serviços serviço
; ;
6 6
Integrar integrar
as o
diferentes diferente
modalidades modalidade
de de
ensino ensino
, ,
otimizando otimizar
itinerários itinerário
e e
tempo tempo
para para
a o
formação formação
profissional profissional
; ;
7 7
Inovar inovar
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
para para
manter manter
excelência excelência
diante diante
do de_o
mercado mercado
; ;
8 8
Ampliar ampliar
a o
capacidade capacidade
de de
criar criar
e e
atualizar atualizar
cursos curso
em em
parceria parceria
com com
o o
mercado mercado
; ;
9 9
Expandir expandir
e e
ampliar ampliar
a o
capacidade capacidade
de de
articulação articulação
com com
Governos governo
e e
Setores setor
Produtivos produtivo
; ;
e e
10 10
Promover promover
a o
captação captação
de de
recursos recurso
extras extra
e e
não não
orçamentários orçamentário
. .
